TimeSec,RestHR,HRV_RMSSD,SpO2,SkinTemp,RespRate,Steps,MaxHR,IrregularBeat
0,73.1,36.12,97.5,36.42,14.5,0,142.6,0
1,74.8,36.46,96.6,36.48,14.2,0,138.0,0
2,76.4,37.39,97.1,36.51,15.3,0,139.2,0
3,73.3,43.32,96.9,36.47,13.9,0,139.8,0
4,69.6,38.05,96.5,36.42,15.7,1,135.8,0
5,68.2,41.19,97.2,36.49,14.7,0,142.1,0
6,70.9,34.7,97.2,36.48,15.8,0,138.4,0
7,78.3,39.51,97.2,36.65,14.3,0,142.8,0
8,71.4,37.65,96.5,36.51,12.7,0,138.9,0
9,79.9,35.23,96.9,36.45,15.3,0,142.4,0
10,78.8,39.51,96.9,36.58,15.4,2,142.6,0
11,77.9,42.21,97.3,36.37,14.5,1,141.0,0
12,73.2,38.39,97.3,36.43,15.1,0,140.7,0
13,74.9,35.94,97.8,36.42,15.2,0,139.3,0
14,77.6,37.72,97.2,36.46,14.8,0,144.2,0
15,77.4,39.59,97.6,36.54,16.0,0,141.2,0
16,78.2,30.87,96.6,36.48,13.5,0,140.8,0
17,76.8,39.18,97.7,36.48,13.8,0,137.2,0
18,75.7,35.22,97.0,36.45,14.2,1,137.8,0
19,76.7,32.18,97.4,36.47,13.6,0,137.8,0
20,72.1,35.35,96.6,36.6,14.5,0,138.3,1
21,77.7,43.16,98.0,36.39,13.2,0,143.3,0
22,72.1,36.51,96.8,36.41,14.2,1,140.0,0
23,79.2,42.45,97.8,36.53,13.4,0,139.1,0
24,74.3,33.55,97.5,36.43,14.6,1,138.6,0
25,74.9,30.11,97.1,36.55,14.7,0,139.2,0
26,81.5,38.6,96.3,36.5,15.5,0,142.2,0
27,78.3,38.34,96.8,36.54,15.3,0,138.7,0
28,71.8,47.19,95.8,36.51,14.2,0,138.3,0
29,74.8,42.89,97.6,36.57,16.7,1,137.0,0
30,76.9,44.13,96.9,36.54,15.8,0,139.4,0
31,74.6,39.93,96.8,36.32,17.1,0,140.0,0
32,75.4,41.97,97.0,36.56,15.8,0,140.9,0
33,72.2,32.07,98.0,36.57,14.2,0,140.3,0
34,77.7,38.72,97.5,36.61,16.1,0,139.7,0
35,71.6,28.47,96.8,36.54,15.3,0,142.1,0
36,76.2,36.18,96.2,36.47,16.4,0,139.1,0
37,71.3,39.68,96.7,36.43,14.4,0,143.7,0
38,74.1,37.93,98.0,36.53,15.1,0,140.3,1
39,76.4,39.79,97.6,36.52,17.1,1,139.5,0
40,76.4,42.72,96.5,36.59,14.7,0,138.1,0
41,75.2,39.61,96.6,36.47,16.0,0,139.4,0
42,73.7,35.55,97.3,36.67,16.3,0,138.8,0
43,75.8,40.62,97.3,36.58,11.9,2,137.9,0
44,69.9,37.15,97.7,36.29,17.2,0,139.7,0
45,75.2,49.28,96.4,36.61,14.6,0,139.2,0
46,75.4,37.35,97.0,36.57,14.4,0,140.4,0
47,79.0,40.58,96.5,36.44,15.0,2,139.3,0
48,80.1,43.98,97.6,36.5,16.3,0,140.9,0
49,74.5,38.85,97.6,36.55,15.1,0,141.1,0
50,72.0,45.6,97.4,36.36,14.9,0,142.3,0
