TimeSec,RestHR,HRV_RMSSD,SpO2,SkinTemp,RespRate,Steps,MaxHR,IrregularBeat
0,76.96,45.28,97.15,36.52,14.04,1,142.91,0
1,69.2,40.38,96.09,36.61,15.87,1,141.53,0
2,74.05,39.08,96.48,36.3,14.45,1,139.81,0
3,78.33,34.17,96.78,36.68,15.2,0,138.17,0
4,72.04,47.53,98.1,36.55,16.22,0,140.03,0
5,76.06,38.7,97.84,36.58,15.1,1,140.36,0
6,72.89,37.75,97.41,36.6,14.28,1,136.54,0
7,76.98,48.62,97.47,36.55,14.59,1,138.48,0
8,74.13,37.71,97.59,36.31,15.43,0,139.41,0
9,75.47,43.75,97.21,36.65,14.81,1,139.34,0
10,75.06,39.4,97.44,36.62,15.04,0,142.29,0
11,73.25,34.37,97.38,36.47,15.69,0,135.84,0
12,79.74,49.77,96.93,36.56,16.29,0,139.35,0
13,73.0,45.92,97.42,36.37,13.64,0,141.29,0
14,73.94,43.89,97.47,36.45,15.78,1,139.81,0
15,72.55,45.32,96.87,36.47,15.31,0,138.67,0
16,74.45,32.56,97.59,36.7,15.48,0,140.17,0
17,80.13,44.31,97.14,36.24,14.28,0,137.74,0
18,75.88,32.09,96.7,36.57,13.47,0,142.01,0
19,69.1,35.69,97.37,36.36,14.06,0,141.68,0
20,76.3,43.19,97.56,36.55,14.25,1,138.67,0
21,71.12,36.75,96.3,36.59,15.75,0,141.45,0
22,72.75,44.43,96.85,36.6,14.86,0,141.61,0
23,69.43,34.0,98.13,36.35,15.13,0,137.6,0
24,78.46,41.98,95.98,36.53,14.92,0,137.96,0
25,74.87,46.46,98.22,36.51,14.95,1,140.88,0
26,76.81,38.88,96.85,36.52,15.65,1,144.36,0
27,76.79,43.55,97.1,36.55,15.9,0,139.95,0
28,82.31,37.77,97.02,36.48,14.43,0,137.38,0
29,77.41,37.42,96.4,36.5,12.62,1,137.84,0
30,74.21,33.05,97.04,36.64,12.6,0,138.84,0
31,73.78,38.84,98.21,36.36,15.1,0,140.07,0
32,73.7,34.65,96.98,36.5,15.39,0,143.35,0
33,74.06,34.69,97.77,36.57,17.18,0,139.3,0
34,73.54,44.97,97.12,36.63,15.42,1,142.06,0
35,81.18,39.98,97.61,36.41,15.08,0,138.67,0
36,71.96,39.0,96.9,36.67,14.09,0,142.49,0
37,72.46,38.23,97.13,36.44,13.2,1,136.88,0
38,69.31,44.57,97.28,36.41,15.44,0,141.75,0
39,78.28,43.34,96.43,36.48,14.21,1,140.93,0
40,74.09,39.74,96.67,36.35,17.67,0,137.36,0
41,68.99,41.13,96.69,36.54,14.31,0,138.69,0
42,75.87,24.53,96.19,36.38,13.97,0,140.97,0
43,75.76,35.41,96.99,36.58,14.18,1,139.72,0
44,79.65,28.88,97.74,36.47,16.23,0,139.02,0
45,75.36,34.04,97.62,36.43,13.82,1,136.84,0
46,74.99,39.56,97.68,36.58,16.22,0,138.63,0
47,70.3,41.46,97.51,36.49,14.67,0,143.34,0
48,75.64,44.56,98.21,36.55,15.19,1,139.92,0
49,78.26,39.62,95.35,36.45,15.28,1,141.29,0
50,72.88,33.59,97.46,36.54,16.26,1,138.21,0
51,72.31,41.91,97.44,36.45,15.9,0,138.68,0
52,71.03,46.94,96.37,36.43,15.58,0,140.04,0
53,68.25,39.48,97.31,36.49,15.67,1,141.48,0
54,77.66,39.97,96.95,36.54,15.91,0,136.78,0
55,75.21,39.07,95.87,36.52,15.41,0,134.74,0
56,75.52,40.49,97.41,36.43,15.64,0,139.23,0
57,68.69,37.32,97.38,36.53,15.45,0,141.25,0
58,72.37,45.68,97.26,36.59,15.04,1,138.43,0
59,73.12,42.52,97.32,36.38,14.66,0,138.84,0
60,74.06,34.27,97.74,36.52,16.67,0,142.79,0
61,74.86,37.21,97.33,36.48,15.24,0,140.52,0
62,77.92,34.02,96.84,36.46,16.94,0,141.91,0
63,73.48,33.64,97.78,36.52,15.57,0,139.66,0
64,73.78,50.51,96.96,36.7,15.69,0,138.74,0
65,77.09,36.2,98.05,36.48,14.71,0,139.2,0
66,76.25,39.25,97.16,36.59,14.17,0,139.78,1
67,69.7,40.37,96.68,36.48,16.13,1,140.79,0
68,69.47,43.87,97.24,36.52,16.22,1,145.08,0
69,75.46,49.73,97.22,36.71,15.07,0,142.7,0
70,77.09,45.34,97.53,36.61,13.49,0,137.27,0
71,73.39,34.7,96.1,36.48,13.68,0,136.43,0
72,75.8,37.07,97.35,36.54,14.43,0,137.46,0
73,76.73,39.56,95.91,36.48,16.17,1,143.32,0
74,75.66,34.52,97.05,36.47,14.74,0,146.22,0
75,76.41,40.67,96.85,36.51,14.1,0,140.0,0
76,71.71,47.47,97.83,36.52,14.37,1,139.6,0
77,75.42,46.37,97.59,36.36,14.31,0,141.06,0
78,77.62,50.06,96.73,36.41,14.26,0,139.48,0
79,76.43,40.68,97.67,36.65,17.34,1,140.22,0
80,77.51,33.7,96.96,36.49,15.63,1,139.13,0
81,72.69,39.72,96.87,36.53,13.46,0,138.64,0
82,74.67,40.02,97.64,36.49,13.06,0,141.63,0
83,74.95,41.14,97.3,36.38,16.05,0,138.72,0
84,70.95,38.08,97.75,36.58,14.77,0,139.29,0
85,72.96,38.6,96.88,36.51,15.37,1,138.33,0
86,75.22,34.96,96.81,36.59,13.26,1,137.11,0
87,76.37,46.85,96.28,36.46,15.19,0,143.24,0
88,70.64,30.71,96.6,36.46,14.99,1,145.15,0
89,70.24,36.14,96.86,36.46,14.62,0,140.53,0
90,73.8,34.84,96.85,36.55,13.68,0,140.11,0
91,77.23,48.98,98.1,36.54,16.21,0,140.53,0
92,78.25,44.76,96.67,36.35,13.96,0,141.77,0
93,76.51,39.52,95.74,36.42,13.27,0,141.09,0
94,73.78,47.29,96.95,36.47,14.7,0,139.14,0
95,77.2,35.74,98.61,36.51,15.18,1,141.47,0
96,71.24,44.09,96.6,36.6,15.34,1,139.48,0
97,72.54,38.09,96.49,36.72,17.47,0,144.74,0
98,73.77,40.22,96.67,36.45,15.05,0,139.26,0
99,77.19,42.36,96.56,36.61,15.49,1,139.89,0
100,79.85,38.53,96.53,36.57,16.78,0,137.54,0
101,77.67,41.92,97.26,36.52,13.84,1,139.96,0
102,76.11,42.53,96.59,36.61,15.54,1,138.18,0
103,75.95,37.59,97.09,36.49,16.12,0,140.5,0
104,74.58,36.25,97.76,36.51,15.54,0,141.67,0
105,75.5,31.23,96.67,36.49,16.17,0,142.24,1
106,79.15,44.38,97.23,36.4,14.79,0,138.51,0
107,77.94,41.34,97.12,36.64,17.22,0,140.22,0
108,74.74,42.5,96.43,36.54,13.96,0,138.68,0
109,72.7,35.39,97.1,36.41,14.83,1,140.56,0
110,76.46,46.95,97.2,36.51,13.9,0,141.57,0
111,70.52,48.26,96.9,36.55,15.75,1,142.92,0
112,74.78,37.02,96.67,36.27,12.2,0,140.3,0
113,73.23,39.07,96.74,36.67,15.43,1,139.42,0
114,75.29,39.44,97.6,36.52,14.99,1,141.71,0
115,73.13,40.03,97.68,36.53,15.39,0,139.69,0
116,78.43,40.46,97.03,36.41,12.1,0,139.51,0
117,69.09,34.82,97.59,36.59,15.07,0,145.5,0
118,71.01,34.08,96.27,36.46,15.2,0,139.6,0
119,74.55,37.63,97.35,36.43,15.0,1,139.16,0
120,76.97,43.05,95.88,36.52,15.09,0,142.33,0
121,72.82,39.72,96.7,36.26,14.74,1,135.12,0
122,76.57,42.72,97.02,36.52,13.72,2,139.14,0
123,76.28,33.11,98.33,36.37,14.08,1,143.41,0
124,77.31,32.68,97.55,36.44,14.91,0,137.0,0
125,71.51,45.46,96.52,36.64,13.85,0,142.02,0
126,73.99,25.82,97.26,36.66,16.51,0,137.79,0
127,75.86,37.08,95.77,36.46,15.59,1,138.6,0
128,75.14,58.53,96.52,36.44,14.68,0,141.35,0
129,72.49,45.94,97.59,36.39,14.71,0,136.78,0
130,75.27,38.49,98.31,36.47,15.72,1,135.45,0
131,73.39,38.5,96.19,36.56,16.47,0,140.85,0
132,73.23,42.43,97.46,36.56,13.6,0,137.81,0
133,79.34,43.48,98.06,36.42,15.23,0,140.17,0
134,79.28,35.98,97.33,36.49,17.37,0,139.83,0
135,74.37,47.48,96.93,36.56,13.78,0,140.6,0
136,68.94,40.32,96.1,36.65,13.75,1,144.09,0
137,76.62,32.92,97.29,36.46,14.31,0,141.8,0
138,74.79,41.52,97.55,36.49,16.11,0,139.56,0
139,74.78,47.51,96.55,36.57,14.31,1,142.51,0
140,76.09,29.27,97.21,36.54,16.19,0,137.16,0
141,69.27,33.48,97.52,36.41,13.4,1,142.02,0
142,73.39,35.43,96.82,36.38,13.96,0,141.79,0
143,75.63,40.41,95.84,36.58,14.54,1,142.57,0
144,78.65,37.8,96.82,36.47,14.93,0,139.65,0
145,80.66,40.43,97.0,36.51,15.41,0,137.02,0
146,76.89,42.72,96.85,36.57,15.28,0,138.12,0
147,76.43,40.47,97.17,36.41,16.02,1,144.0,0
148,78.49,43.32,95.93,36.49,16.11,0,143.67,0
149,77.06,36.55,97.03,36.38,12.32,0,141.96,0
150,71.78,45.62,97.59,36.29,16.18,0,143.62,0
151,81.27,33.74,96.81,36.52,14.87,0,142.82,0
152,72.29,31.27,97.81,36.48,14.62,1,139.14,0
153,77.51,43.33,97.05,36.47,15.22,0,141.27,0
154,70.9,43.82,95.85,36.54,16.65,0,145.98,0
155,77.44,46.31,96.56,36.62,14.26,0,140.09,0
156,70.84,37.71,97.34,36.53,15.52,0,139.71,0
157,76.11,34.95,96.74,36.4,15.91,0,137.07,0
158,72.01,33.12,97.39,36.44,15.87,0,139.1,0
159,78.94,36.67,96.09,36.47,14.33,1,137.93,0
160,77.32,33.76,98.37,36.45,16.22,1,140.0,0
161,74.34,43.17,97.58,36.61,15.05,1,138.29,0
162,74.67,35.8,95.87,36.38,15.31,0,142.3,0
163,77.51,45.11,98.07,36.51,16.09,1,142.66,0
164,64.85,39.11,96.33,36.47,14.84,0,142.07,0
165,77.37,41.0,97.12,36.48,12.94,0,144.11,0
166,74.41,46.14,97.05,36.52,14.34,0,137.91,0
167,73.59,47.48,96.33,36.4,13.48,0,138.46,0
168,74.3,39.58,95.45,36.44,14.98,0,139.76,0
169,75.72,41.45,96.66,36.34,16.09,1,140.11,0
170,75.47,28.31,96.7,36.5,14.85,0,142.71,0
171,78.16,31.54,97.51,36.51,14.77,0,144.88,0
172,77.18,39.51,96.84,36.63,15.01,1,141.17,0
173,74.28,32.47,97.03,36.51,15.4,0,135.75,0
174,78.38,45.4,97.84,36.68,13.38,1,141.27,0
175,80.64,32.79,96.65,36.61,16.23,0,141.28,0
176,67.38,39.54,97.6,36.56,15.86,0,142.87,0
177,73.67,35.64,96.69,36.35,15.08,0,137.77,0
178,76.12,39.02,96.12,36.56,14.6,0,138.36,0
179,76.28,47.21,97.04,36.61,16.07,0,139.76,0
180,76.08,37.3,96.96,36.53,14.08,1,136.81,0
181,72.74,34.7,96.99,36.41,16.75,0,139.47,0
182,72.52,44.46,97.59,36.71,15.17,0,139.83,0
183,73.6,46.81,98.16,36.55,14.54,0,142.81,0
184,71.27,30.85,96.5,36.47,15.24,0,140.14,0
185,76.72,35.64,96.81,36.42,13.59,1,139.67,0
186,74.21,42.95,97.55,36.54,15.26,0,138.23,0
187,80.33,35.86,97.73,36.47,14.59,1,137.11,0
188,70.81,41.04,96.55,36.51,15.04,1,138.15,0
189,70.17,36.58,97.58,36.48,14.53,0,142.81,0
190,73.27,44.73,96.42,36.52,14.62,1,138.74,0
191,75.5,44.73,97.22,36.47,13.58,1,142.56,0
192,67.16,38.46,97.05,36.59,15.52,0,140.66,0
193,80.54,36.07,96.98,36.42,14.11,1,138.76,0
194,74.15,29.47,95.91,36.66,12.89,0,139.5,0
195,73.98,41.65,98.11,36.34,15.6,0,141.17,0
196,74.67,40.0,96.53,36.58,15.59,0,135.28,0
197,72.11,35.16,97.62,36.48,15.84,0,139.02,0
198,75.51,39.42,98.51,36.45,15.2,1,141.05,0
199,77.93,39.41,96.68,36.43,12.72,0,139.95,0
200,72.19,37.9,97.46,36.55,16.74,0,140.06,0
201,76.08,44.4,96.91,36.7,15.81,0,136.55,0
202,77.06,37.47,97.19,36.62,15.35,0,140.31,0
203,77.12,44.74,97.81,36.59,14.38,0,137.47,0
204,74.25,41.84,97.33,36.65,14.09,0,138.77,0
205,76.6,27.09,97.38,36.54,15.87,0,139.9,0
206,73.22,40.08,97.29,36.52,16.23,1,141.29,0
207,76.1,43.89,98.07,36.68,15.4,0,140.19,0
208,76.21,41.15,97.16,36.52,15.44,1,142.63,0
209,69.34,37.37,96.94,36.52,15.73,1,139.69,0
210,74.38,36.48,97.03,36.61,14.77,0,140.98,0
211,71.12,43.75,97.09,36.53,14.44,1,139.7,0
212,77.16,44.02,97.28,36.52,16.0,1,143.03,0
213,77.74,37.6,96.67,36.5,15.49,0,142.5,0
214,71.2,38.41,96.37,36.43,15.1,0,138.87,0
215,74.33,40.42,98.03,36.57,14.5,0,139.54,0
216,75.1,34.21,97.97,36.42,15.52,0,143.21,0
217,81.75,43.14,96.61,36.45,15.08,1,138.63,0
218,72.32,44.34,96.73,36.48,14.56,0,138.6,0
219,69.81,31.92,96.91,36.56,14.25,0,138.86,0
220,73.84,41.83,97.68,36.4,14.63,1,138.98,0
221,77.75,37.21,96.63,36.61,17.17,1,140.65,0
222,80.1,37.31,97.19,36.61,14.24,0,142.09,0
223,74.51,41.46,96.32,36.74,13.22,0,137.21,0
224,78.73,39.82,97.7,36.41,14.76,0,138.97,0
225,76.34,38.0,97.06,36.53,17.14,0,138.55,0
226,80.86,42.25,97.05,36.62,14.27,0,139.87,0
227,76.98,50.23,96.52,36.36,15.13,0,134.51,0
228,77.85,34.0,96.37,36.39,14.58,0,141.82,0
229,69.24,33.22,97.01,36.65,14.89,1,140.45,0
230,71.37,47.13,96.52,36.44,15.4,1,140.59,0
231,76.37,42.58,96.98,36.56,14.6,1,137.77,0
232,76.62,34.82,96.98,36.36,15.15,0,139.01,0
233,82.31,41.27,96.39,36.55,15.11,0,138.57,0
234,70.64,37.5,97.07,36.38,13.48,1,139.48,0
235,73.35,40.19,97.99,36.4,15.97,0,138.82,0
236,69.12,41.02,97.24,36.41,15.72,1,139.26,0
237,74.76,45.17,97.49,36.46,15.44,0,139.31,0
238,79.24,29.1,97.31,36.4,14.72,0,141.09,0
239,80.36,31.03,96.71,36.53,16.81,0,142.54,0
240,71.25,39.16,97.52,36.4,15.72,1,139.95,0
241,75.02,40.05,96.08,36.48,14.87,1,141.4,0
242,69.27,34.11,97.38,36.32,14.15,0,141.2,0
243,78.35,37.45,97.23,36.61,16.64,0,141.08,0
244,71.01,46.14,97.22,36.46,15.51,0,137.78,0
245,71.57,43.82,97.92,36.25,15.84,0,141.21,0
246,72.85,32.07,97.25,36.35,15.09,1,141.5,0
247,71.75,38.65,97.83,36.31,15.79,1,143.38,0
248,74.58,44.02,97.26,36.53,14.79,1,145.1,0
249,71.26,38.07,96.24,36.34,16.62,0,136.17,0
250,75.41,39.37,96.89,36.62,15.7,1,141.2,0
251,78.62,42.3,98.03,36.49,14.41,0,142.67,0
252,70.87,42.49,96.87,36.43,14.24,0,141.46,0
253,72.06,43.91,96.38,36.3,14.36,1,138.86,0
254,74.19,34.04,97.2,36.37,13.9,1,139.28,0
255,77.34,41.75,97.2,36.62,12.95,0,140.79,0
256,74.63,41.33,96.1,36.46,15.66,0,142.96,0
257,73.12,37.81,97.1,36.53,15.04,0,141.27,0
258,72.88,32.15,97.44,36.55,13.96,1,138.86,0
259,69.94,47.23,97.58,36.65,15.43,1,141.21,0
260,69.04,35.33,97.84,36.66,16.13,1,142.27,0
261,78.41,34.48,96.97,36.42,15.61,0,139.62,0
262,77.22,40.48,96.83,36.38,15.69,0,140.7,0
263,71.17,37.0,97.55,36.67,16.39,0,140.79,0
264,73.86,29.03,97.04,36.63,12.36,0,139.94,0
265,74.11,37.25,96.64,36.4,14.81,0,143.44,0
266,79.16,35.02,96.98,36.59,14.73,1,140.27,0
267,72.92,32.1,97.4,36.56,16.17,1,139.38,0
268,80.09,49.3,97.64,36.48,15.54,0,139.66,0
269,75.42,41.15,97.28,36.41,15.35,0,141.01,0
270,79.15,36.9,97.89,36.35,14.91,0,138.96,1
271,70.4,40.65,97.4,36.63,16.0,0,137.62,0
272,71.57,37.02,97.32,36.49,14.68,0,143.22,0
273,74.43,43.55,97.98,36.67,15.44,0,141.47,0
274,71.73,41.12,97.88,36.5,15.42,0,144.09,0
275,74.55,38.48,97.48,36.57,16.03,1,137.74,0
276,74.62,38.86,96.18,36.56,15.35,0,137.99,0
277,74.97,36.01,95.89,36.49,15.66,1,140.36,0
278,75.33,43.63,97.54,36.62,16.92,1,141.43,0
279,70.2,33.75,97.32,36.39,14.84,0,138.01,0
280,73.46,33.83,98.06,36.4,17.84,1,138.48,0
281,76.42,41.84,95.66,36.56,15.86,1,140.59,0
282,74.59,39.58,97.06,36.52,14.59,0,139.41,0
283,73.61,37.04,97.68,36.52,16.15,1,138.1,0
284,71.99,37.21,95.99,36.64,13.7,0,143.14,0
285,71.59,44.51,97.23,36.44,15.63,0,136.81,0
286,74.41,38.82,96.59,36.74,13.79,0,135.2,0
287,73.4,35.0,97.43,36.44,14.0,0,140.15,0
288,78.38,34.36,97.53,36.62,14.62,0,140.63,0
289,74.09,37.64,96.44,36.59,13.02,0,139.23,0
290,74.63,39.34,96.63,36.46,15.97,0,141.56,0
291,76.34,38.56,97.19,36.46,14.52,0,139.92,1
292,75.16,43.65,97.35,36.66,15.13,0,137.48,0
293,78.04,34.7,96.96,36.55,14.44,0,141.24,0
294,82.96,33.61,97.33,36.55,13.09,0,140.95,0
295,74.36,43.16,96.74,36.47,14.18,0,136.34,0
296,74.37,37.81,96.79,36.41,16.21,1,138.39,0
297,77.64,40.13,97.03,36.54,15.79,0,142.88,0
298,81.06,35.41,97.02,36.42,14.87,1,140.05,0
299,70.17,39.03,96.51,36.62,13.75,0,140.17,0
