TimeSec,RestHR,HRV_RMSSD,SpO2,SkinTemp,RespRate,Steps,MaxHR,IrregularBeat
0,74.3,34.35,97.77,36.39,13.87,0,139.09,0
1,71.7,35.46,96.62,36.49,14.51,0,140.15,0
2,71.12,38.73,95.68,36.33,16.59,0,139.19,0
3,70.16,39.4,96.75,36.73,13.91,1,140.32,0
4,74.62,36.4,97.82,36.26,14.84,0,141.49,0
5,67.96,40.93,97.35,36.48,13.71,1,139.95,0
6,76.75,37.43,97.38,36.49,15.54,0,143.98,0
7,72.01,39.27,97.31,36.51,16.26,0,136.24,0
8,79.63,37.67,96.75,36.49,14.75,0,139.39,0
9,74.73,43.91,97.21,36.65,14.64,0,136.86,0
10,75.98,32.1,97.19,36.45,15.33,0,140.39,0
11,72.84,33.46,96.96,36.59,15.15,0,140.45,0
12,73.94,48.01,97.29,36.53,15.4,0,137.62,0
13,81.67,34.76,96.98,36.45,13.8,0,138.83,0
14,75.72,37.76,96.17,36.41,16.64,0,138.84,0
15,78.72,44.81,96.58,36.46,13.85,0,138.18,0
16,75.62,32.75,97.33,36.36,13.93,1,138.97,0
17,68.25,41.04,96.71,36.61,15.7,0,137.8,0
18,74.08,37.39,96.52,36.55,13.68,0,144.02,0
19,74.22,40.24,98.18,36.32,15.34,0,142.07,0
20,79.42,32.7,96.88,36.48,14.51,0,143.7,0
21,78.2,35.88,96.68,36.35,14.14,0,138.93,0
22,74.34,37.66,97.07,36.46,14.78,0,142.7,0
23,77.74,36.63,96.44,36.6,17.82,0,135.99,0
24,74.23,40.16,97.77,36.55,15.08,0,141.1,0
25,74.09,39.2,97.19,36.36,14.59,1,136.06,0
26,74.7,36.66,96.45,36.65,14.57,1,140.7,0
27,70.5,40.68,97.68,36.47,13.96,0,139.4,0
28,73.17,39.35,95.49,36.38,15.43,1,141.52,0
29,74.35,46.97,96.54,36.46,15.11,0,142.44,0
30,70.94,42.97,98.47,36.44,13.39,0,140.95,0
31,75.25,33.39,97.59,36.47,14.67,1,139.27,0
32,74.68,33.58,97.53,36.45,15.66,0,140.36,0
33,84.38,29.24,97.8,36.54,15.01,1,137.8,0
34,74.01,45.88,96.91,36.41,14.59,0,144.0,0
35,76.62,42.39,98.27,36.39,14.25,0,136.24,0
36,79.02,42.99,97.1,36.44,14.75,1,142.18,0
37,75.26,38.72,96.97,36.34,17.69,0,136.6,0
38,74.99,38.74,96.96,36.66,17.24,1,139.73,0
39,79.95,49.05,97.55,36.45,13.62,0,138.71,0
40,81.35,41.16,97.13,36.54,14.17,1,140.0,0
41,72.62,40.25,95.98,36.35,15.62,1,140.55,0
42,72.23,41.25,95.89,36.59,15.95,0,139.65,0
43,79.45,42.5,97.1,36.56,13.53,0,139.86,0
44,80.06,46.3,96.35,36.43,15.55,0,142.01,0
45,78.44,37.33,97.62,36.38,15.44,0,141.05,0
46,76.0,29.69,96.87,36.47,13.47,1,141.13,1
47,73.12,41.15,96.41,36.49,15.84,0,137.99,0
48,77.26,40.89,96.65,36.41,14.3,0,143.56,0
49,71.3,37.2,96.1,36.43,15.11,0,137.84,0
50,74.07,28.39,96.61,36.43,15.89,0,137.37,0
51,75.73,36.01,98.56,36.45,15.44,1,140.38,0
52,76.51,39.13,96.06,36.45,13.97,0,136.8,0
53,74.33,44.45,98.43,36.5,15.98,0,139.35,0
54,74.32,42.01,97.17,36.66,14.35,0,139.19,0
55,69.74,34.12,96.51,36.38,14.91,0,138.03,0
56,73.47,39.99,97.63,36.38,15.89,0,141.84,0
57,76.12,39.76,96.27,36.44,14.86,0,141.47,0
58,77.29,40.41,95.85,36.49,14.25,0,141.44,0
59,77.6,45.04,96.3,36.46,15.15,0,137.85,0
60,77.32,27.47,97.64,36.67,16.07,1,138.69,0
61,76.9,43.38,97.84,36.52,15.58,0,138.91,0
62,79.91,42.59,97.11,36.48,14.57,0,138.05,0
63,75.77,30.15,96.77,36.6,13.91,0,141.14,0
64,76.65,32.7,96.48,36.65,15.65,1,139.25,0
65,77.91,42.28,96.5,36.52,13.76,0,136.44,0
66,73.89,37.23,96.3,36.48,14.8,0,140.48,0
67,77.93,40.08,96.78,36.53,14.38,1,140.31,0
68,76.22,41.83,97.3,36.45,15.98,1,138.07,0
69,73.02,40.21,97.09,36.35,14.98,0,139.77,0
70,76.78,47.57,97.56,36.26,13.69,0,139.51,0
71,72.87,40.05,96.59,36.54,15.95,0,139.75,0
72,74.41,35.52,96.31,36.58,14.86,1,141.33,0
73,79.51,35.57,98.09,36.6,13.47,0,137.04,0
74,72.75,43.55,97.02,36.63,14.31,0,136.41,0
