TimeSec,RestHR,HRV_RMSSD,SpO2,SkinTemp,RespRate,Steps,MaxHR,IrregularBeat
0,74.89,37.57,97.29,36.52,14.71,0,142.0,1
1,76.0,44.26,96.7,36.54,14.95,0,141.53,0
2,74.92,37.01,97.56,36.46,16.06,0,138.44,0
3,72.3,35.64,97.14,36.43,14.04,1,136.82,0
4,75.08,32.7,95.94,36.45,16.35,2,141.4,0
5,70.04,42.46,96.92,36.79,14.05,0,143.3,0
6,73.2,45.21,97.33,36.44,17.88,1,138.43,0
7,76.46,41.15,97.69,36.65,14.48,0,135.42,0
8,73.95,38.34,96.03,36.55,13.74,1,139.29,0
9,71.7,42.09,96.95,36.45,16.4,0,138.98,0
10,74.01,41.38,96.14,36.51,15.36,0,139.65,0
11,71.9,30.98,96.75,36.53,16.69,0,138.77,0
12,78.77,46.0,97.18,36.54,14.88,1,141.43,0
13,75.08,31.89,96.92,36.51,14.42,1,142.09,0
14,72.38,33.28,97.71,36.41,14.42,1,140.88,1
15,74.64,56.14,96.68,36.43,14.16,0,138.83,0
16,73.68,40.92,96.09,36.59,14.71,0,141.22,0
17,74.2,40.3,97.35,36.44,16.02,0,138.66,0
18,80.58,41.68,95.93,36.46,14.12,0,138.28,0
19,77.0,37.89,97.52,36.53,15.37,0,142.36,0
20,72.32,34.02,96.93,36.51,16.03,0,138.2,0
21,71.58,43.72,96.28,36.55,15.47,0,137.04,0
22,71.91,42.1,96.54,36.72,15.95,0,141.1,0
23,72.09,38.43,96.16,36.52,15.72,1,138.44,0
24,72.46,41.55,97.08,36.48,15.12,1,138.7,0
25,79.85,46.57,97.51,36.4,17.14,0,137.46,0
26,74.76,45.6,97.79,36.56,16.41,0,137.43,0
27,77.85,44.5,96.63,36.43,14.25,0,141.92,0
28,76.62,42.25,96.94,36.43,14.91,1,138.69,0
29,69.3,32.09,97.24,36.43,14.68,0,140.0,0
30,71.19,39.2,97.3,36.61,15.98,1,139.13,1
31,78.96,37.7,96.95,36.52,16.11,0,140.05,0
32,68.87,39.26,96.41,36.57,12.04,1,140.86,0
33,74.82,32.9,97.38,36.48,14.32,1,137.95,0
34,78.51,37.08,97.59,36.47,15.72,0,138.66,0
35,72.99,29.76,96.49,36.57,15.89,0,137.45,0
36,77.6,44.05,96.88,36.52,13.0,0,139.98,0
37,71.08,42.32,96.78,36.31,16.42,1,142.07,0
38,71.92,41.65,97.87,36.61,14.5,1,140.61,0
39,71.03,38.3,97.11,36.42,16.47,0,139.69,0
40,78.42,47.66,97.56,36.5,15.95,0,142.22,0
41,80.65,44.53,97.06,36.51,13.91,0,143.37,0
42,80.13,39.74,97.39,36.46,13.56,1,140.11,0
43,74.78,35.73,96.65,36.57,14.53,0,141.24,0
44,79.47,38.32,96.91,36.49,18.2,0,142.3,0
45,71.47,35.51,97.56,36.67,15.28,0,141.39,0
46,72.49,29.25,97.58,36.46,15.5,0,135.4,0
47,75.86,38.64,96.46,36.58,16.5,0,140.63,0
48,68.18,32.01,96.37,36.37,14.75,0,139.44,0
49,77.25,31.33,97.3,36.48,15.21,0,137.02,0
